,titles,rates,reviews,review_id
0,비상선언,10,,no9a****
1,얼라이드,10,잔잔하게 강렬히 와 닫네요 ,no9a****
2,분노의 질주: 더 맥시멈,10,정말 오랜만의 시원한 액션 눈을 땔수가 없었음~출연하는 차들역시 ~ ,no9a****
3,다크 나이트 라이즈,10,세시간이 짧게 느껴진건 오랜만인듯 ,no9a****
4,늑대사냥,10,호불호 심할듯한데 재밌네요 ,no9a****
5,늑대사냥,10,이제 까지 없던 스토리흥미진진 ,tls8****
6,미드소마,6,정성스럽게 미친 사이비 종교의 집단광기를 세밀하고 뛰어난 연출력으로 표현하는 영화. ,tls8****
7,365일: 오늘,10, 마성의 여자 라우라ㅋㅋㅋ스토리 따위는 개나 줘버렸지만 남주의 얼굴이 개연성이다. 연기는 좀 웃김 ,myle****
8,캐빈 인 더 우즈,8, 가볍게 보기 좋음. 마약쟁이가 제일 정상적임ㅋㅋㅋ 마티 너무 좋아. 호러지만 개그 요소도 있는 신선한 영화. ,myle****
9,썬더버드,10,"초반 몰입감, 하루밤 사이에 벌어지는 반전있는 스토리, 고구마지만 현실적인 캐릭터, 결국 내가  가야할곳은 평범한 일상있는 그곳이라는 엔딩까지 기대이상의 띵작!! ",seon****
10,뷰티풀 데이 인 더 네이버후드,10,톰행크스말고 누가 이 역할을 소화할수있었을까싶다. 근근히 미국영화에서 볼 수 있는 크리스쿠퍼 연기도 정말 너무너무 좋았고.누구든 꼭 한번은 봤으면 좋겠다싶은 좋은 작품 ,seon****
11,뉴스 오브 더 월드,10,믿고보는 톰 행크스. 그리고 레드데드리뎀션 마렵다 ,seon****
12,워 머신,7,영화 지루했지만 믿고보는 브래드피트 연기 그리고 스토리각색은 나름은 잘 된듯?실제론 ‘패배한 전쟁의 지휘관’ 이란 총대를 떠안기 싫었던 장군이 일부러 롤링스톤 기자를 섭외한뒤 대통령 및 상관들을 욕하고 기사화하게끔 유도해서 해임 당할수밖에없는 구조를짠걸로 알고있습니다. 당시 미국군이나 정치계나 서로 전쟁패배 책임전가하느라 바빴죠 ,seon****
13,퍼펙트 센스,10,"옛날 개봉때 영화관에서 보고 굉장히 충격받았던 기억이나네요. 연기 스토리 다 최고지만 무엇보다 청각을 잃고난 뒤부터의 무음 연출. 영화관에서 그렇게 적막 가득한 고요한 시청은 이 작품이 유일했는데. 오랜만에 다시보니, 특히 코로나를 겪고 다시 보니 정말 더 몰입하게 됐습니다. 세상에서 가장 충격적인 멜로영화 ",saza****
14,스타 이즈 본,10,세번째 리메이크버전일정도로 미국에서 유명한 작품이지만. 브래들리 쿠퍼 감독으로도 대단하네요 정말. 감독데뷔작이라는게 믿겨지지않을 정도이고. 개봉때보고 오늘 다시 봤는데 더 재밌게본듯 ,saza****
15,마지막 게임,8,담고싶은게 많았던 감독의 부족한 연출. 그걸 덮는 명배우들의 연기 ,roma****
16,마약왕,5,스토리 개연성 디테일 그냥 갖다버림. 배우들 연기덕에 감독똥이 묻힘 ,roma****
17,인터셉터,1,개시레기영화에요 이걸 보고나면 야차나 카터는 명작일 정도 ,roma****
18,서던 리치: 소멸의 땅,10,처음에 너무 허접할거같았는데 각본이 탄탄하네요. 스토리 진행할수록 꿀잼. 후반부 영상미와 몰입도는 ㄹㅇ 너무 좋았다. 엔딩 크레딧도 og ,roma****
19,애드 아스트라,10,"넷플릭스에서 영화볼땐 거의 기대안하고 킬링타임정도만되라 기도하고 보는 편인데, 일단 브래드피트 주연이라 각본연출 조져도 연기는 볼만하겠지싶어서 봤습니다. 근데 정말 브래드피트가 캐리합니다. 몰입도 베리굳. 재밌게봤어요 ",roma****
20,야차,4,영화감독을 꿈꾸는 부잣집아들이 아빠 졸라서 연예인 섭외해서 찍은 ‘영상’ 같아요. 제발 2편은 찍지 말아주세요 ,roma****
21,야차,4,영화감독을 꿈꾸는 부잣집아들이 아빠 졸라서 연예인 섭외해서 찍은 ‘영상’ 같아요. 제발 2편은 찍지 말아주세요 ,roma****
22,썬더버드,10,"초반 몰입감, 하루밤 사이에 벌어지는 반전있는 스토리, 고구마지만 현실적인 캐릭터, 결국 내가  가야할곳은 평범한 일상있는 그곳이라는 엔딩까지 기대이상의 띵작!! ",roma****
23,뷰티풀 데이 인 더 네이버후드,10,톰행크스말고 누가 이 역할을 소화할수있었을까싶다. 근근히 미국영화에서 볼 수 있는 크리스쿠퍼 연기도 정말 너무너무 좋았고.누구든 꼭 한번은 봤으면 좋겠다싶은 좋은 작품 ,roma****
24,뉴스 오브 더 월드,10,믿고보는 톰 행크스. 그리고 레드데드리뎀션 마렵다 ,roma****
